ticker,entry_date,exit_date,setup_type,conf_label,conf_score,entry,exit,sl,target,rr,qty,capital,pnl,exit_reason,ev_pct,result,days_held,weekly_score
HDFCBANK.NS,2016-01-21,2016-02-01,RSI_DIVERGENCE,BUY,3,235.18,243.63,225.9,250.65,1.67,255,59971.0,2154.36,DAY_CAP,1.74,WIN,6,3
HDFCBANK.NS,2016-02-04,2016-02-12,OVERSOLD_EXHAUSTION,WATCH,2,241.2,234.74,234.74,251.97,1.67,124,29909.0,-801.33,SL,1.04,LOSS,6,2
HDFCBANK.NS,2016-06-20,2016-06-28,TREND_PULLBACK,BUY,4,269.44,263.99,263.99,278.54,1.67,222,59817.0,-1211.79,SL,0.95,LOSS,6,3
HDFCBANK.NS,2016-07-04,2016-07-13,TREND_PULLBACK,BUY,4,271.83,277.61,266.11,281.36,1.67,220,59803.0,1272.24,DAY_CAP,0.98,WIN,6,3
HDFCBANK.NS,2016-11-10,2016-11-21,TREND_PULLBACK,STRONG BUY,5,296.34,287.2,287.2,311.58,1.67,303,89791.0,-2770.73,SL,1.44,LOSS,6,3
HDFCBANK.NS,2016-11-30,2016-12-08,OVERSOLD_EXHAUSTION,WATCH,2,278.04,278.02,269.55,292.2,1.67,107,29750.0,-2.48,DAY_CAP,1.18,LOSS,6,1
HDFCBANK.NS,2016-12-08,2016-12-16,OVERSOLD_EXHAUSTION,WATCH,2,278.02,274.03,269.63,292.0,1.67,107,29748.0,-426.56,DAY_CAP,1.17,LOSS,6,1
HDFCBANK.NS,2016-12-16,2016-12-26,OVERSOLD_EXHAUSTION,WATCH,2,274.03,272.34,266.97,285.8,1.67,109,29869.0,-184.43,DAY_CAP,1.0,LOSS,6,2
HDFCBANK.NS,2016-12-27,2017-01-04,OVERSOLD_EXHAUSTION,WATCH,2,274.7,274.77,269.02,284.18,1.67,109,29943.0,7.58,DAY_CAP,0.8,WIN,6,2
HDFCBANK.NS,2017-01-05,2017-01-13,OVERSOLD_EXHAUSTION,WATCH,1,274.94,283.67,269.69,283.67,1.67,109,29968.0,952.57,TARGET,0.74,WIN,6,2
HDFCBANK.NS,2017-11-06,2017-11-14,TREND_PULLBACK,BUY,4,426.65,420.52,417.85,441.3,1.67,140,59730.0,-857.45,DAY_CAP,0.96,LOSS,6,3
HDFCBANK.NS,2017-11-20,2017-11-28,TREND_PULLBACK,BUY,4,428.87,435.22,421.32,441.47,1.67,139,59614.0,882.12,DAY_CAP,0.82,WIN,6,3
HDFCBANK.NS,2018-02-26,2018-03-07,TREND_PULLBACK,BUY,4,446.0,435.8,435.8,462.99,1.67,134,59764.0,-1366.18,SL,1.07,LOSS,6,2
HDFCBANK.NS,2018-06-25,2018-07-03,TREND_PULLBACK,BUY,4,491.91,486.1,481.32,509.56,1.67,121,59521.0,-703.19,DAY_CAP,1.0,LOSS,6,3
HDFCBANK.NS,2018-09-25,2018-10-04,OVERSOLD_EXHAUSTION,BUY,3,458.44,459.7,443.46,483.41,1.67,130,59597.0,163.31,DAY_CAP,1.26,WIN,6,3
HDFCBANK.NS,2018-10-05,2018-10-15,OVERSOLD_EXHAUSTION,WATCH,2,461.47,471.51,444.83,489.19,1.67,65,29996.0,652.47,DAY_CAP,1.39,WIN,6,2
HDFCBANK.NS,2018-10-15,2018-10-24,OVERSOLD_EXHAUSTION,WATCH,2,471.51,467.8,455.13,498.8,1.67,63,29705.0,-233.73,DAY_CAP,1.34,LOSS,6,2
HDFCBANK.NS,2018-10-24,2018-11-01,OVERSOLD_EXHAUSTION,WATCH,1,467.8,453.55,453.55,491.55,1.67,64,29939.0,-912.05,SL,1.18,LOSS,6,2
HDFCBANK.NS,2018-11-01,2018-11-12,OVERSOLD_EXHAUSTION,WATCH,2,449.0,451.08,435.05,472.25,1.67,66,29634.0,137.15,DAY_CAP,1.2,WIN,6,3
HDFCBANK.NS,2018-11-13,2018-11-21,OVERSOLD_EXHAUSTION,WATCH,2,452.65,472.75,440.59,472.75,1.67,66,29875.0,1326.35,TARGET,1.03,WIN,6,3
HDFCBANK.NS,2019-02-05,2019-02-14,TREND_PULLBACK,BUY,3,496.4,495.49,485.36,514.79,1.67,120,59568.0,-108.48,DAY_CAP,1.04,LOSS,6,2
HDFCBANK.NS,2019-05-21,2019-05-29,TREND_PULLBACK,BUY,4,564.41,548.73,548.73,590.55,1.67,106,59827.0,-1662.3,SL,1.3,LOSS,6,3
HDFCBANK.NS,2019-08-06,2019-08-16,OVERSOLD_EXHAUSTION,WATCH,2,518.37,527.51,503.25,543.56,1.67,57,29547.0,520.99,DAY_CAP,1.13,WIN,6,2
HDFCBANK.NS,2019-08-20,2019-08-28,OVERSOLD_EXHAUSTION,WATCH,2,525.82,511.08,511.08,550.4,1.67,57,29972.0,-840.48,SL,1.08,LOSS,6,2
HDFCBANK.NS,2019-08-30,2019-09-11,OVERSOLD_EXHAUSTION,WATCH,2,527.57,533.09,512.22,553.15,1.67,56,29544.0,309.63,DAY_CAP,1.13,WIN,6,3
HDFCBANK.NS,2019-09-11,2019-09-19,OVERSOLD_EXHAUSTION,WATCH,1,533.09,517.74,517.74,558.69,1.67,56,29853.0,-859.95,SL,1.11,LOSS,6,2
HDFCBANK.NS,2019-09-19,2019-09-27,OVERSOLD_EXHAUSTION,WATCH,2,521.44,546.08,506.66,546.08,1.67,57,29722.0,1404.27,TARGET,1.1,WIN,6,3
HDFCBANK.NS,2019-10-14,2019-10-23,TREND_PULLBACK,STRONG BUY,5,570.39,588.01,545.94,611.13,1.67,157,89551.0,2765.95,DAY_CAP,2.0,WIN,6,3
HDFCBANK.NS,2019-10-25,2019-11-04,TREND_PULLBACK,STRONG BUY,5,582.04,585.76,563.28,613.3,1.67,154,89634.0,572.5,DAY_CAP,1.5,WIN,6,3
HDFCBANK.NS,2019-12-17,2019-12-26,TREND_PULLBACK,STRONG BUY,5,601.98,601.67,589.52,622.73,1.67,149,89695.0,-45.87,DAY_CAP,0.97,LOSS,6,3
HDFCBANK.NS,2019-12-27,2020-01-06,TREND_PULLBACK,STRONG BUY,5,603.82,591.07,591.07,625.09,1.67,149,89970.0,-1901.0,SL,0.99,LOSS,6,3
HDFCBANK.NS,2020-01-13,2020-01-21,TREND_PULLBACK,BUY,4,609.03,595.14,595.14,632.19,1.67,98,59685.0,-1361.39,SL,1.06,LOSS,6,3
HDFCBANK.NS,2020-02-11,2020-02-19,OVERSOLD_EXHAUSTION,WATCH,1,587.53,572.5,572.5,612.59,1.67,51,29964.0,-766.77,SL,0.99,LOSS,6,2
HDFCBANK.NS,2020-02-27,2020-03-06,OVERSOLD_EXHAUSTION,BUY,3,568.04,554.58,554.58,590.49,1.67,105,59645.0,-1413.83,SL,0.92,LOSS,6,3
HDFCBANK.NS,2020-08-10,2020-08-18,OVERSOLD_EXHAUSTION,WATCH,1,497.58,500.35,473.83,537.16,1.67,60,29855.0,166.23,DAY_CAP,1.85,WIN,6,2
HDFCBANK.NS,2020-08-18,2020-08-26,OVERSOLD_EXHAUSTION,WATCH,2,500.35,529.68,478.63,536.55,1.67,59,29520.0,1730.98,DAY_CAP,1.68,WIN,6,1
HDFCBANK.NS,2020-09-25,2020-10-06,RSI_DIVERGENCE,BUY,3,494.43,525.71,475.66,525.71,1.67,121,59826.0,3785.25,TARGET,1.67,WIN,6,3
HDFCBANK.NS,2020-12-15,2020-12-23,TREND_PULLBACK,BUY,4,658.9,651.49,636.65,696.0,1.67,91,59960.0,-674.46,DAY_CAP,1.58,LOSS,6,3
HDFCBANK.NS,2020-12-24,2021-01-04,TREND_PULLBACK,BUY,4,661.65,670.6,638.01,701.06,1.67,90,59548.0,805.57,DAY_CAP,1.67,WIN,6,3
HDFCBANK.NS,2021-01-04,2021-01-12,TREND_PULLBACK,BUY,4,670.6,701.38,649.76,705.33,1.67,89,59683.0,2739.71,DAY_CAP,1.45,WIN,6,3
HDFCBANK.NS,2021-03-01,2021-03-09,TREND_PULLBACK,BUY,4,738.28,739.98,702.8,797.4,1.67,81,59800.0,138.1,DAY_CAP,2.24,WIN,6,3
HDFCBANK.NS,2021-03-09,2021-03-18,TREND_PULLBACK,BUY,4,739.98,708.59,708.59,792.3,1.67,81,59938.0,-2542.65,SL,1.98,LOSS,6,3
HDFCBANK.NS,2021-03-30,2021-04-08,TREND_PULLBACK,BUY,4,735.81,704.4,704.4,788.16,1.67,81,59601.0,-2544.1,SL,1.99,LOSS,6,3
HDFCBANK.NS,2021-08-03,2021-08-11,OVERSOLD_EXHAUSTION,WATCH,2,682.4,711.11,665.17,711.11,1.67,43,29343.0,1234.48,TARGET,0.98,WIN,6,1
HDFCBANK.NS,2021-08-20,2021-08-30,TREND_PULLBACK,BUY,4,720.47,745.92,698.62,756.89,1.67,83,59799.0,2112.06,DAY_CAP,1.42,WIN,6,2
HDFCBANK.NS,2021-11-29,2021-12-07,OVERSOLD_EXHAUSTION,BUY,3,714.05,725.68,691.76,751.2,1.67,84,59980.0,976.86,DAY_CAP,1.21,WIN,6,3
HDFCBANK.NS,2021-12-07,2021-12-15,OVERSOLD_EXHAUSTION,WATCH,2,725.68,713.46,705.0,760.15,1.67,41,29753.0,-501.18,DAY_CAP,1.1,LOSS,6,2
